title,developer,url,published_date,price,genre,description,tags
Marshmallow Fluff,heatherhutch,https://heatherhutch.itch.io/marshmallow-fluff,28 April 2025 @ 06:30 UTC,,Puzzle,,"['2D', 'Cute', 'Pixel Art', 'Sokoban']"
Unprofessional Exhibition 3D,blueice15,https://blueice15.itch.io/unprofessional-exhibition-3d,28 April 2025 @ 06:29 UTC,,,An immersive experience not made for the DiscMaster Jam.,"['3D', 'interactive']"
Catcoin Troubles DEMO,Creativv,https://creativv.itch.io/catcoin-troubles-demo,28 April 2025 @ 06:28 UTC,,Platformer,Sadcat Lost his coins. need you help he does,"['2D', 'Cats', 'imadethisfornoreason', 'Pixel Art']"
Prototype-Numenqoi,nominal251,https://nominal251.itch.io/prototype-numenqoi,28 April 2025 @ 06:24 UTC,,,"A 2.5d pixel-art flight demo, made as the final project for DIG2783 Game Art.","['Flight', 'Pixel Art']"
Horse Race Test BOOHAG EDITION,Okay_iguess69,https://okay-iguess69.itch.io/horse-race-test-boohag-edition,28 April 2025 @ 06:22 UTC,,,NEIIIIGH,[]
Bubblegum Galaxy,naomivega,https://naomivega.itch.io/bubblegum-galaxy,,,,​Leap through a dreamy pink galaxy in this space-themed parkour game!,[]
Tap IT – Face the Challenge,vnoisy,https://vnoisy.itch.io/tap-it,,,Platformer,,[]
Masics story,ひつじソフト,https://hitsuji-software.itch.io/masics-story,28 April 2025 @ 06:15 UTC,,Action,Games made in 2007.,"['2D', 'Pixel Art']"
SOTE,2AM,https://niko-mantykoski.itch.io/sote,,,Educational,Opettavainen SOTE peli,[]
Zebrini,Zane Johns (kelpdance),https://kelpdance.itch.io/zebrini,,,Puzzle,a Sokoban-style lite Metroidvania,[]
Depths of Space,jeff.harper.games,https://jeffharper.itch.io/depths-of-space,28 April 2025 @ 06:07 UTC,,Adventure,"A cozy space adventure game, where you gather resources and upgrade your ship.","['Cozy', 'Ludum Dare 57', 'Management', 'Space']"
Mega Death Race 3000000,nishaan1,https://nishaan1.itch.io/mega-death-race-3000000,28 April 2025 @ 06:05 UTC,,Racing,"Mega, deathly, racing, 3000000",['Endless Runner']
Gargantuan Angling - Public demo,Räyhä Games,https://rayhagames.itch.io/gargantuan-angling-public-demo,,,Sports,An arcade style fishing game.,[]
Ikan Bakar Seafood Cafe,AideedGameZ,https://aideedgamez.itch.io/ikan-bakar-seafood-cafe,28 April 2025 @ 05:58 UTC,,Simulation,relax cafe game for beach guy,"['cafe', 'Comedy', 'Food', 'Life Simulation', 'Relaxing', 'Singleplayer', 'Slice Of Life']"
The Space Run,zarkam,https://zarkam.itch.io/the-space-run,,,,Explore Space,[]
Dream Adventure,potato01123,https://potato01123.itch.io/dream-adventure,28 April 2025 @ 05:55 UTC,,Platformer,Play through a series of dreams,"['2D', 'Pixel Art', 'Singleplayer']"
Python Picross,Noah,https://noah-poteat.itch.io/python-picross,28 April 2025 @ 05:47 UTC,,Puzzle,picross created in python,"['2D', 'No AI', 'Picross', 'Singleplayer']"
Milo and Mystic Realms,TwinLightGames,https://twinlight-games.itch.io/milo-and-the-mystic-realms,28 April 2025 @ 05:44 UTC,,Action,Escape the Grasp of an Evil Magician,"['3D', '3D Platformer', 'Magic', 'Singleplayer']"
Squish.,1010meha,https://1010meha.itch.io/squish,,,,,[]
Danceoff,Calaverita Studios,https://calaverita-studios.itch.io/danceoff,28 April 2025 @ 05:32 UTC,,,¿Estás listo para bailar?,"['16x16', 'Colorful', 'Pixel Art', 'Singleplayer']"
Squish.,1010meha,https://1010meha.itch.io/squish,28 April 2025 @ 05:34 UTC,,,,['3D']
Danceoff,Calaverita Studios,https://calaverita-studios.itch.io/danceoff,28 April 2025 @ 05:32 UTC,,,¿Estás listo para bailar?,"['16x16', 'Colorful', 'Pixel Art', 'Singleplayer']"
MichelinFarm,hibgar,https://hibgar.itch.io/michelinfarm,28 April 2025 @ 05:29 UTC,,,,[]
Nameless,quixoticanine,https://quixoticanine.itch.io/nameless,,,Adventure,,[]
Amanda's Morning Routine,baroldbilly,https://baroldbilly.itch.io/amandas-morning-routine,,,Adventure,,[]
Reflex,Demigod122111,https://demigod122111.itch.io/reflex,28 April 2025 @ 05:04 UTC,,Platformer,Jump Together. Conquer Together. Reflexes Required.,"['2D', 'Indie', 'Minimalist', 'Multiplayer', 'Non violent', 'Pixel Art', 'Singleplayer', 'Unity']"
Hotpot City: Boiling Point,wildinjaelyn,https://wildinjaelyn.itch.io/hotpot-city-boiling-point,28 April 2025 @ 05:04 UTC,,Interactive Fiction,Do you author the truth? A narrative-driven CRPG,"['computer-role-playing-game', 'crpg', 'interactive-novel', 'narrative-driven', 'roleplaying-game', 'story-driven']"
Caos mod,here's lolller,https://lolller.itch.io/aos-mod,28 April 2025 @ 05:00 UTC,,,,[]
Explorador Ecosistemas,Error155,https://error155.itch.io/explorador-ecosistemas,28 April 2025 @ 04:56 UTC,,Adventure,,[]
Ethics.EXE,tiffanyhuang03,https://tiffanyhuang03.itch.io/ethicsexe,28 April 2025 @ 04:54 UTC,,,,[]
fast - the game,cheesy,https://cheesy7.itch.io/fast-the-game,28 April 2025 @ 04:52 UTC,,,,"['2D', 'Difficult', 'Indie', 'No AI', 'Short', 'Singleplayer']"
Conway's Game of Life,gpc91,https://gpc91.itch.io/game-of-life,28 April 2025 @ 04:50 UTC,,Simulation,Conway's Game of Life,"['2D', 'Casual', 'No AI', 'Pixel Art']"
Bit Golf,Daten Dev,https://daten-dev.itch.io/bit-golf,28 April 2025 @ 04:50 UTC,,Sports,A little bit of golf!,"['2D', 'Godot', 'My First Game Jam', 'Physics', 'Pixel Art', 'Singleplayer']"
Photobiont,Dustin Blakey,https://dwblakey.itch.io/photobiont,,,Adventure,Guess who's free living! And loving it...?,[]
CandleLore,MEYOUMEYOU,https://meyoumeyou.itch.io/candlelore,28 April 2025 @ 04:48 UTC,,Puzzle,A game by MEYOUMEYOU & LavsLabs,[]
Puzzle — Sliding Puzzle for C64 (CRT Cartridge),RetroProgrammation,https://retroprogrammation.itch.io/puzzle,,,Puzzle,"Sliding puzzle game for Commodore 64. Rearrange pieces to complete 7 different puzzles, up to 5 levels of difficulty!",[]
BounceBill,Rodney Hussmann,https://rodneyhussmann.itch.io/bouncebill,,,,Test Build,[]
GHOUL BLOOD,GIGATANK 3000,https://gigatank3000.itch.io/ghoul-blood,28 April 2025 @ 04:43 UTC,,Shooter,,"['Game Boy', 'Zombies']"
moontodoorongan,ongan,https://ongan.itch.io/moontodoorongan,28 April 2025 @ 04:43 UTC,$1,,,[]
Pemmy's Paint,Skuffy,https://skuffy808.itch.io/pemmys-paint,28 April 2025 @ 04:42 UTC,,Role Playing,,"['1bit', '2D', 'bad', 'pemmy', 'Pixel Art', 'trash']"
Puffed and Dangerous,Joeuf,https://joeuf.itch.io/puffed-and-dangerous,,,Adventure,,[]
REDLINE: Idle Front,Beorgames,https://beorgames.itch.io/redline-idle-front,,,,,[]
Are You Alone?,kvikso,https://kviks.itch.io/areyoualone,28 April 2025 @ 04:34 UTC,,Adventure,psx horror,"['3D', 'Atmospheric', 'Creepy', 'First-Person', 'Horror', 'PSX (PlayStation)', 'Retro', 'Short', 'Singleplayer']"
Lawnmo!,proyurt,https://proyurt.itch.io/lawnmo,28 April 2025 @ 04:32 UTC,,Puzzle,It's a lawn-mowing puzzle game!,"['Casual', 'Indie', 'Pixel Art', 'Retro', 'RPG Maker MV', 'Simple', 'Time Attack', 'Walking simulator']"
CatBard,Lotus,https://lotusflare.itch.io/catbard,28 April 2025 @ 04:30 UTC,,Action,,"['2D', 'Dungeon Crawler', 'Indie', 'Pixel Art', 'Top-Down', 'Unity']"
Sugar N' Spice: The Final Exam,ZestfulZalyn,https://zestfulzalyn.itch.io/sugar-and-spice-the-final-exam,28 April 2025 @ 04:21 UTC,,Visual Novel,This is a visual novel for my Literacy Narrative project for WRTG 3870 Spring 2025,"['2D', 'Casual', 'Furry', 'Indie', 'Narrative', ""Ren'Py"", 'Short']"
Last One Standing,ztier,https://z-tier.itch.io/last-one-standing,28 April 2025 @ 04:21 UTC,,Shooter,"In a world of anarchy, you're the last sane One left.",['Math']
Chronos,Algion,https://algion.itch.io/chronos,28 April 2025 @ 04:16 UTC,,Action,Vampire x Hades meets In Time Movie,[]
TheRunner,MK32,https://mk32.itch.io/therunner,28 April 2025 @ 04:16 UTC,,,#teamSmartCsharp,[]
Destruction of sinners,ThePipidastr,https://thepipidastr.itch.io/destruction-of-sinners,28 April 2025 @ 04:15 UTC,,Action,Hard game,"['2D', 'Indie', 'Short', 'Singleplayer', 'Sprites', 'Top-Down', 'Top down shooter']"
A very cool bossfight against an alternate universe robert,Lantern Studios,https://lantern-studios.itch.io/a-very-cool-bossfight-against-an-alternate-universe-robert,28 April 2025 @ 04:09 UTC,,Strategy,Late April Fools! Fight against an anomaly from an alternate universe!,['Boss battle']
Astrostate,liamflannery,https://liamflannery.itch.io/astrostate,28 April 2025 @ 03:59 UTC,,Simulation,influence interplanetary diplomacy by choosing who you allow into your planet,['Space']
THE JOB.,FunkyToe(dev),https://funkytoedev.itch.io/the-job,28 April 2025 @ 03:59 UTC,,Action,,"['employment', 'gorilla', 'Gorilla Tag', 'Horror', 'job', 'monkey', 'Monsters', 'scary', 'tag', 'work']"
Pursuit of Knowledge,ChiCheetah,https://chicheetah.itch.io/pursuit-of-knowledge,28 April 2025 @ 03:59 UTC,,Interactive Fiction,"Starting as a cloud, transform yourself as you build your character through the trials of the Library!","['3D', 'Singleplayer']"
The First Mathemagician - Mini Jam 183,Cannochi,https://cannochi.itch.io/the-first-mathemagician-minijam-183,28 April 2025 @ 03:58 UTC,,Strategy,Bending the fabric of reality with math!,['Turn-based Strategy']
Cards & Calcs,Hal,https://hallamrear.itch.io/cards-and-calcs,28 April 2025 @ 03:58 UTC,,Card Game,,[]
Misterio en la Mansión Blackwood,Yael-Reyes,https://yael-reyes.itch.io/misterio-en-la-mansin-blackwood,28 April 2025 @ 03:58 UTC,,Puzzle,Investiga un asesinato en una mansión llena de secretos y mentiras.,"['clue-based', 'Detective', 'Mystery', 'pygame', 'python']"
BRISK SIGNALS,topoj9,https://topoj9.itch.io/brisk-signals,28 April 2025 @ 03:57 UTC,,Survival,They're here,"['3D', 'Atmospheric', 'First-Person', 'Godot', 'Horror', 'Indie', 'Psychological Horror', 'Singleplayer', 'Space']"
ARE YOU HUMAN?,SNik7,https://snik7.itch.io/are-you-human,28 April 2025 @ 03:56 UTC,,Simulation,"""ERROR ENCOUNTERED - This program needs to confirm you are human.""","['2D', 'Indie', 'Pixel Art', 'Retro', 'Short', 'Singleplayer']"
Calculate,tiltism,https://tiltism.itch.io/calculate,,,Puzzle,Mini Jam 183: Calculations Project by Tiltism and Dragondude88,[]
Stats Shop,Takkapi,https://takkapi.itch.io/stats-shop,28 April 2025 @ 03:55 UTC,,Educational,,"['calculations', 'minijam', 'Pixel Art']"
El iluso,Emilyg0909,https://emilyg0909.itch.io/el-ilusohttpstwineryorg2stories2f2c74f3-94fa-49a5-ab9b-ac23d33f77ab,28 April 2025 @ 03:54 UTC,,,,[]
Between the Lines,sanjiti_b,https://sanjiti-b.itch.io/between-the-lines,28 April 2025 @ 03:54 UTC,,Interactive Fiction,A satirical Twine game set in cliché-filled Willowdale High.,"['Comedy', 'First-Person', 'Romance', 'satire', 'Singleplayer']"
Slot Trader,TsarCharChar,https://tsarcharchar.itch.io/slot-trader,28 April 2025 @ 03:54 UTC,,,,[]
gato（ガト）,marsoft,https://marsoft.itch.io/gato-jp,28 April 2025 @ 03:54 UTC,,Platformer,無限に走る猫,[]
Chromatic Vision,snwhd,https://snwhd.itch.io/chromatic-vision,28 April 2025 @ 03:53 UTC,,Puzzle,,[]
Retail Builder (Demo),ThatGamingFox01,https://arthurzrthur01.itch.io/retail-builder-demo,28 April 2025 @ 03:51 UTC,,Simulation,,[]
CardKingdom,chatnoir95,https://chatnoir95.itch.io/cardkingdom,,,Strategy,Defend your kingdom by choosing the right card.,[]
The Plink Test,The Quinnzite Mushroom,https://the-quinnzite-mushroom.itch.io/the-plink-test,,,,Drop balls and do math,[]
DreamHome,AL43868,https://al43868.itch.io/dreamhome,28 April 2025 @ 03:47 UTC,,,,[]
The Math Dance,Rdraa,https://rdraa12.itch.io/the-math-dance,28 April 2025 @ 03:47 UTC,,Rhythm,,"['2D', 'calculation', 'dance']"
Colorist,JohnRex,https://johnrex.itch.io/colorist,,,Simulation,Game made for Mini Jam 183 (3 days). Theme: calculations. Limitation: 4 colors.,[]
The Fourth Wall Must DIE,nickbdawg,https://nickbdawg.itch.io/the-fourth-wall-must-die,28 April 2025 @ 03:46 UTC,,Simulation,An incremental game about destroying the fourth wall,"['Idle', 'Incremental', 'No AI', 'Pixel Art']"
Calcudex,Andronikon,https://andronikon.itch.io/calcudex,28 April 2025 @ 03:43 UTC,,Puzzle,Calculation puzzle game made in 72 hours.,"['2D', 'High Score', 'Indie', 'Minimalist', 'No AI']"
A Penguin's Formula,TopCatIX,https://topcatix.itch.io/a-penguin-formula,28 April 2025 @ 03:42 UTC,,Puzzle,A Game made for the Mini Jam 183: Calculations game Jam,[]
Oklahoma Tellbox,Skid,https://sundancekid1019.itch.io/oklahoma-tellbox,,,Card Game,Indian poker? Blind man's bluff? Oklahoma forehead? Not sure but I bet you can't read my poker face,[]
Traditional_House,Diana_0601,https://diana-0601.itch.io/traditional-house,,,,,[]
Calculator Quest,EmmaDrew,https://emmadrew.itch.io/calculator-quest,28 April 2025 @ 03:37 UTC,,Role Playing,Defeat Numbers with Math!,['GameMaker']
Archaeology Simulator,Madeline Grenier,https://maddilovessmiles.itch.io/archaeology-simulator,28 April 2025 @ 03:36 UTC,,,Uncover a new Find,[]
Aniomino,ziq2,https://ziq2.itch.io/aniomino,28 April 2025 @ 03:35 UTC,,Puzzle,,['polyomino']
Grid Defender,GaestMergirl,https://gaestmergirl.itch.io/grid-defender,,,,"A game made for trijam 319, theme ""get your own cell""",[]
Hole In One,ScalphaMission,https://scalphamission.itch.io/hole-in-one,,,Puzzle,The only way to get a hole in one on these courses is to CHEAT!,[]
VERY COOL PLACE SIMULATOR,Delta!,https://deltawwa.itch.io/very-cool-place-simulator,28 April 2025 @ 03:27 UTC,,Role Playing,,[]
Desert Dive,Macedon12,https://macedon12.itch.io/desert-dive,,,Survival,,[]
gorilla tag horror but it was made with sticks and rocks,phgvr,https://phgvr.itch.io/gorilla-tag-horror-but-it-was-made-with-sticks-and-rocks,28 April 2025 @ 03:25 UTC,,,gorilla tag,"['Gorilla Tag', 'gorilla-tag-horror', 'Horror']"
Simon Says Me,CokeGaming Studios,https://cokegamingstudios.itch.io/simon-says-me,,,Puzzle,,[]
Pirate Ship Simulation,DingelFrinkel,https://dingelfrinkel.itch.io/pirate-ship-simulation,28 April 2025 @ 03:18 UTC,,,,[]
Color Sanctuary,Ugu,https://ugo-larsonneur.itch.io/color-sanctuary,28 April 2025 @ 03:17 UTC,,Puzzle,A puzzle game where you craft colors with magic gems !,[]
Whiteboard General,PlazmaDolphin,https://plazmadolphin.itch.io/whiteboard-general,28 April 2025 @ 03:17 UTC,,,,[]
Shadowborn,Nicohylian,https://nicohylian.itch.io/shadowborn,,,Platformer,,[]
Sanctum,Aiceberg0124,https://aiceberg0124.itch.io/sanctum,,,Survival,Sanctum,[]
BitShift,crazedmonkey231,https://crazedmonkey231.itch.io/bitshift,,,Card Game,Deck builder around bitwise operations,[]
BitShift,crazedmonkey231,https://crazedmonkey231.itch.io/bitshift,28 April 2025 @ 03:14 UTC,,Card Game,Deck builder around bitwise operations,['pygame']
Evoas,IceBlood17,https://iceblood17.itch.io/ecoas,28 April 2025 @ 03:12 UTC,,Action,Adventure and combat are guaranteed,"['No AI', 'Singleplayer']"
From The Above,MOB-IUS,https://mob-ius.itch.io/from-the-above,28 April 2025 @ 03:09 UTC,,Puzzle,,[]
Lunar Breaker,HomeTeam GameDev,https://hometeamgamedev.itch.io/lunar-breaker,28 April 2025 @ 03:08 UTC,,Shooter,FPS stealth action,[]
Zombie Runner,Mania_Fighter,https://mania-fighter.itch.io/zombie-runner,,,Action,A zombie wave game,[]
The Horror Highway,jaydengilkey6,https://jaydengilkey6.itch.io/the-horror-highway,28 April 2025 @ 03:02 UTC,,Puzzle,,['Survival Horror']
Insulinus - A Última Dose,marcosponcio,https://marcosponcio.itch.io/insulinusaultimadose,28 April 2025 @ 03:02 UTC,,Adventure,A Última Dose,"['diabets', 'Game Design', 'Game Jam', 'GameMaker', 'insulinus', 'insulinusaultimadose']"
Grid Factory,Dev_Cabbage,https://dev-cabbage.itch.io/grid-factory,28 April 2025 @ 03:01 UTC,,Strategy,A Factorio Based Deckbuilder!,"['2D', 'Automation', 'Pixel Art']"
CandyCrusader,Ywank Studios,https://ywank-studios.itch.io/candycrusader,28 April 2025 @ 03:00 UTC,,Survival,Destroy the candy kingdom,[]
Project mega monke,Rykerboblol,https://rykerboblol.itch.io/project-mega-monke,,,,,[]
Masters,cooperosullivan,https://cooperosullivan.itch.io/masters,28 April 2025 @ 02:58 UTC,,Action,https://youtube.com/shorts/WjplqWlaQRc?si=O0_5_G7pkaV_BRvD,[]
Jar Clicker,Nathios,https://nathios.itch.io/jar-clicker,28 April 2025 @ 02:58 UTC,,,Clique no jarro e constua seu império,['Clicker']
DynoMine,bieere,https://bieere.itch.io/dynomine,,,Action,depths,[]
Survivor,apaxlegend,https://apaxlegend.itch.io/survivor,,,,,[]
The Cargo Temple,ValuedCookie,https://valuedcookie.itch.io/the-cargo-temple,28 April 2025 @ 02:56 UTC,,Puzzle,A Sokoban inspired puzzle game where you must push boxes onto goals to delve deeper.,"['Fantasy', 'Sokoban', 'Unity']"
CyberBushi,MenteDeVento,https://mentedevento.itch.io/cyberbushi,28 April 2025 @ 02:55 UTC,,Action,,"['Arena Shooter', 'Roguelike']"
Item Mangler,lavasilk,https://lavasilk.itch.io/zombie-shooter,,,Action,,[]
HORIZON ANGLER,Kyle Woo,https://suketsu.itch.io/horizon-angler,28 April 2025 @ 02:54 UTC,,Adventure,An atmospheric fishing adventure where skill-based mini-games and eerie mysteries collide.,"['Casual', 'Fishing', 'Monsters']"
Football Challenge,D1asu,https://d1asu.itch.io/football-challenge,28 April 2025 @ 02:52 UTC,,Platformer,,[]
Care of Kurkur | Chapter 2,jaydengilkey6,https://jaydengilkey6.itch.io/care-of-kurkur-chapter-2,,,Survival,,[]
UFO Mining,amendoem,https://amendoem.itch.io/ufo-mining,28 April 2025 @ 02:49 UTC,,Adventure,You are an alien in search of minerals. How far can exploration go?,"['alien', 'mining', 'Roguelike', 'Singleplayer', 'ufo', 'upgrades']"
Plush Hunters,CabsGames,https://cabsgames.itch.io/plush-hunters,28 April 2025 @ 02:48 UTC,,Action,,"['Cute', 'Indie', 'No AI', 'Pixel Art', 'Short']"
Vertical Slice: Milestone 1,hsun,https://hsun.itch.io/vertical-slice-milestone-1,28 April 2025 @ 02:47 UTC,,,Milestone 1,[]
Space doomer,sage,https://subsage.itch.io/space-doomer,,,Shooter,Simple DOOM level 1 clone,[]
Candy Keeper,Everton Mazepa GameDev,https://evertongamedev.itch.io/candy-keeper,,,Puzzle,,[]
Square Guy,ScaryBoyStudios,https://scaryboystudios.itch.io/square-guy,28 April 2025 @ 02:39 UTC,,Platformer,Avoid triangle guy,"['2D', 'No AI', 'scratch']"
Marblous,BenjaminButton,https://benjaminbutton.itch.io/marblous,28 April 2025 @ 02:38 UTC,,Puzzle,Physics base puzzle game,[]
Roll-A-Ball,Ikimo431,https://ikimo431.itch.io/roll-a-ball,28 April 2025 @ 02:38 UTC,,,,[]
Bossbound,Apocalypseoftutu,https://apocalypseoftutu.itch.io/bossbound,28 April 2025 @ 02:36 UTC,,,,[]
Care for Kal,Teitoku Lowliet,https://teitoku-lowliet.itch.io/care-for-kal,,,Simulation,Take care of cute doggo,[]
Rabies Island,downstren,https://downstren.itch.io/rabies-island,28 April 2025 @ 02:35 UTC,,Action,Fight through Rabid animals. Save the Mayor from the Zombie Apocalypse.,"['Animals', 'Horror', 'Survival Horror', 'Third-Person Shooter', 'Zombies']"
《OH?ME : 拭墓以待》,okayu960621,https://okayu960621.itch.io/ohme,28 April 2025 @ 02:33 UTC,,Puzzle,《OH?ME : 拭墓以待》,"['Indie', 'Multiple Endings', 'Pixel Art', 'Point & Click']"
Squid Invaders,Wellactualy,https://wellactualy.itch.io/squid-invaders,28 April 2025 @ 02:29 UTC,,,this is a small Helldivers 2 fan game based off of Space Invaders,"['16-bit', '2D', 'Aliens', 'Arcade', 'Pixel Art', 'Retro']"
gato,marsoft,https://marsoft.itch.io/gato,,,Platformer,endless train-run fun,[]
Blobstars Demo,Blobstarman,https://blobstarman.itch.io/blobstars-demo,,,Adventure,,[]
CoeDosh,pato7080,https://pato7080.itch.io/coedoshhhhhhhhhhhhhhhhh,28 April 2025 @ 02:18 UTC,,,shooter,[]
CoeDosh,pato7080,https://pato7080.itch.io/coedoshhhhhhhhhhhhhhhhh,28 April 2025 @ 02:18 UTC,,,shooter,[]
NULL,RivelBop,https://rivelbop.itch.io/test,,,Action,,[]
The Adventures of Rapha in Wizard Defender,Rapha,https://raphaelcarrard.itch.io/wizard-defender,28 April 2025 @ 02:14 UTC,,Action,simple 2D platformer game,"['2D', 'Fantasy', 'Indie', 'No AI', 'Short', 'Singleplayer', 'Unity']"
RABBITS ALSO KILL: ZERO,Miwls,https://centralmiwls.itch.io/rakzero,28 April 2025 @ 02:13 UTC,,Action,,"['2D', 'Furry', 'Roguelike']"
Devil's Deed,omerfuyar,https://omerfuyar.itch.io/devils-deed,28 April 2025 @ 02:12 UTC,,Shooter,,"['2D', '8-Bit', 'Bullet Hell', 'Fast-Paced', 'Pixel Art', 'Top-Down', 'Top down shooter']"
Care of Kurkur | Chapter 1,jaydengilkey6,https://jaydengilkey6.itch.io/care-of-kurkur-chapter-1,28 April 2025 @ 02:10 UTC,,Survival,,['Survival Horror']
Rainbow Collection,GORT Industries,https://gort-industries.itch.io/rainbow-collection,,,Action,Minimalist surivivor-like with a colorful twist,[]
Time Trials,Kdavi,https://kdavi.itch.io/timetrials-project,28 April 2025 @ 02:02 UTC,,Platformer,Platform your way through time,[]
Tower of Sentinels,NanSama,https://nansama.itch.io/towerofsentinels,,,Adventure,Defeat the boss at the end of the maze if you can!,[]
FISH (the game),InternetCarly,https://internetcarly.itch.io/fish-the-game,28 April 2025 @ 02:01 UTC,,Platformer,,"['Fishing', 'frutiger', 'frutiger-aero', 'frutigeraero', 'old-internet', 'Pixel Art', 'undersea']"
PIG Game,justintillinghast,https://justintillinghast.itch.io/pig-game,28 April 2025 @ 01:59 UTC,,Sports,,[]
LOVE PAST ENTROPY,Delaw,https://delawdelawdelaw.itch.io/love-past-entropy,28 April 2025 @ 01:55 UTC,,Strategy,FIND HER OTHER HALF,[]
Teurath,Ykko,https://ykkos2.itch.io/teurath,28 April 2025 @ 01:50 UTC,,,A Bullet heaven/Tower Defense game,"['Bullet Hell', 'Singleplayer', 'Tower Defense']"
MoodMiles,Maher Fawaz,https://maherfawaz.itch.io/moodmiles,28 April 2025 @ 01:49 UTC,,Educational,,['Mental Health']
Against The Grain,ItsJustRick12,https://itsjustrick12.itch.io/against-the-grain,28 April 2025 @ 01:48 UTC,,Strategy,,[]
Whellinton Jones and The Crystal Clocklight,FabioBatisteti,https://fabiobatisteti.itch.io/clocklight,28 April 2025 @ 01:45 UTC,,Platformer,A quick time cycle based puzzle plataformer,"['Puzzle-Platformer', 'Singleplayer', 'Time Travel']"
Quantum Gridlock,MauroDot,https://maurodot.itch.io/quantum-gridlock,28 April 2025 @ 01:44 UTC,,Puzzle,,[]
MythicalBeastGo,61120018L,https://61120018l.itch.io/mythicalbeastgo,28 April 2025 @ 01:44 UTC,,,,[]
Superhero 4 Hire,Kileykao,https://kileykao.itch.io/superhero-4-hire,28 April 2025 @ 01:41 UTC,,Interactive Fiction,,"['No AI', 'Twine']"
BobbexTag,ElCiber,https://elciber-hub.itch.io/bobbextag,28 April 2025 @ 01:40 UTC,,Action,V 1,"['3D', 'bobbex-tag', 'elcibers', 'Fangame', 'gabbexz', 'Gorilla Tag', 'gorilla-tag-fan-game', 'meta-quest', 'Oculus Quest']"
Amped Up,vapidz,https://vapidz.itch.io/amped-up,,,Shooter,,[]
CristalBorne,AcEs1,https://aces1.itch.io/cristal-cicle,,,Action,Project made in one week for the game jam GGJAM #2 - PRIZES IN MONEY 💸 CASH PRIZES 💸 (WORLDWIDE),[]
Protoadcol,Himekuma,https://himekuma.itch.io/protoadcol,28 April 2025 @ 01:35 UTC,,Puzzle,Give out instructions to your robotoad to lead them to the end of each level.,"['2D', '8-Bit', 'Frogs', 'Mouse only', 'Pixel Art', 'Retro', 'Robots', 'Singleplayer', 'Unity']"
